ID,Translation-Indonesia
B2776,K23505
B2776,K17162
B2776,K11268
B2777,K21912
B2782,K33785
B2784,K12518
B2784,K61660
B2787,K35801
B2788,K18923
B2793,K20832
B2793,K18952
B2798,K17792
B2800,K18172
B2800,K27502
B2802,K70643
B2809,K57467
B2809,K57098
B2817,K30785
B2824,K10711
B2824,K11207
B2829,K18984
B2829,K16825
B2829,K16324
B2829,K56492
B2834,K25624
B2842,K30911
B2846,K18797
B2847,K67311
B2849,K18989
B2850,K18886
B2855,K58175
B2855,K6905
B2855,K47890
B2857,K18689
B2857,K49116
B2861,K39146
B2861,K43774
B2863,K27158
B2869,K17278
B2870,K5310
B2878,K11032
B2880,K23505
B2880,K61306
B2880,K5645
B2880,K163
B2880,K10637
B2882,K39146
B2882,K43774
B2883,K18886
B2888,K69928
B2888,K19048
B2894,K19066
B2894,K51596
B2894,K51340
B2898,K6791
B2900,K19024
B2903,K29945
B2907,K44887
B2907,K41198
B2909,K3379
B2909,K17975
B2914,K30195
B2914,K62990
B2915,K23375
B2920,K69020
B2922,K67538
B2922,K68746
B2922,K67970
B2923,K60894
B2924,K25241
B2924,K25250
B2924,K25117
B2930,K60059
B2932,K64563
B2932,K39235
B2932,K14969
B2932,K60280
B2936,K25145
B2936,K25147
B2936,K3851
B2937,K9550
B2939,K31624
B2939,K27345
B2940,K66738
B2941,K59555
B2946,K23488
B2947,K71131
B2947,K68275
B2948,K6488
B2950,K33432
B2950,K26744
B2950,K25995
B2952,K22252
B2952,K60322
B2952,K11576
B2956,K5517
B2956,K10614
B2957,K48444
B2961,K68982
B2963,K23618
B2968,K54
B2977,K39999
B2978,K25960
B2980,K23613
B2980,K48781
B2982,K23682
B2985,K5379
B2989,K26864
B2992,K66738
B2992,K65926
B2995,K50996
B2995,K53588
B2996,K31737
B2998,K48031
B2998,K34383
B3010,K17184
B3022,K18070
B3023,K48313
B3027,K17010
B3027,K23805
B3032,K49843
B3034,K68269
B3046,K67621
B3046,K67620
B3046,K42664
B3046,K19284
B3058,K1925
B3060,K16926
B3061,K25858
B3061,K48306
B3063,K54999
B3067,K26129
B3067,K28393
B3067,K25742
B3068,K26134
B3071,K48255
B3073,K48342
B3081,K23882
B3081,K26150
B3085,K23908
B3085,K4800
B3088,K59202
B3088,K16918
B3092,K49870
B3092,K49826
B3096,K23957
B3098,K28783
B3100,K23986
B3105,K25862
B3112,K26990
B3112,K26986
B3114,K24029
B3114,K23808
B3114,K1778
B3115,K26752
B3115,K25080
B3117,K23808
B3120,K48410
B3122,K60862
B3127,K1998
B3127,K10473
B3133,K26063
B3139,K22194
B3141,K2038
B3144,K27103
B3145,K23442
B3146,K23466
B3148,K38821
B3148,K14224
B3151,K24079
B3152,K24080
B3154,K59145
B3158,K67001
B3163,K22586
B3165,K17367
B3167,K50106
B3168,K60348
B3168,K31951
B3169,K31624
B3169,K6905
B3171,K25270
B3171,K25185
B3174,K66133
B3175,K67283
B3175,K27018
B3178,K24341
B3179,K58841
B3179,K68172
B3179,K48329
B3181,K48329
B3184,K59374
B3184,K21370
B3184,K56349
B3187,K22772
B3192,K17421
B3193,K27103
B3193,K867
B3194,K27103
B3199,K24344
B3199,K19058
B3201,K709
B3201,K70788
B3206,K27260
B3208,K24361
B3211,K26049
B3214,K27425
B3215,K4627
B3216,K20532
B3217,K27325
B3219,K45615
B3220,K18490
B3222,K18210
B3223,K67538
B3223,K68746
B3224,K10650
B3229,K68746
B3229,K19371
B3229,K5645
B3229,K26425
B3229,K32380
B3229,K65664
B3238,K19555
B3246,K24361
B3246,K66929
B3249,K19450
B3252,K27706
B3255,K18165
B3257,K60242
B3257,K2315
B3258,K26425
B3270,K31951
B3270,K17095
B3270,K46214
B3271,K69806
B3275,K27528
B3276,K26752
B3276,K25709
B3276,K25783
B3276,K25080
B3278,K25347
B3279,K24601
B3281,K6751
B3281,K6700
B3287,K27864
B3288,K15020
B3288,K15036
B3288,K10934
B3290,K26841
B3301,K70403
B3301,K53989
B3301,K3560
B3301,K9772
B3305,K28293
B3307,K68982
B3308,K28279
B3308,K23751
B3308,K57051
B3308,K71545
B3308,K66787
B3319,K50379
B3319,K10665
B3319,K19332
B3319,K3350
B3321,K12114
B3321,K31951
B3322,K70759
B3322,K54312
B3322,K54263
B3323,K67409
B3323,K23587
B3324,K28341
B3324,K25234
B3326,K28362
B3329,K25000
B3329,K55445
B3334,K60015
B3334,K54265
B3339,K54143
B3342,K71167
B3344,K2270
B3344,K8587
B3347,K9550
B3347,K19701
B3348,K16900
B3348,K19701
B3348,K17962
B3348,K19701
B3351,K22947
B3354,K32803
B3354,K6366
B3354,K4178
B3354,K12114
B3354,K11816
B3354,K4149
B3355,K42110
B3357,K14211
B3363,K57949
B3363,K5645
B3370,K40415
B3370,K35084
B3372,K61186
B3375,K10841
B3378,K70256
B3378,K14965
B3382,K35084
B3382,K17685
B3384,K27232
B3384,K46083
B3386,K30749
B3391,K30799
B3397,K25392
B3397,K40686
B3398,K57819
B3398,K25392
B3399,K31995
B3399,K32494
B3399,K32474
B3403,K12979
B3403,K64899
B3403,K60462
B3403,K1398
B3405,K27528
B3405,K18377
B3406,K25821
B3406,K7634
B3406,K61847
B3406,K28754
B3408,K28756
B3410,K32803
B3410,K11816
B3411,K10841
B3411,K71154
B3411,K10954
B3413,K25531
B3417,K32576
B3418,K58848
B3421,K69140
B3424,K30604
B3427,K28630
B3427,K6027
B3429,K71154
B3429,K61313
B3429,K61036
B3432,K30519
B3440,K25729
B3441,K1998
B3444,K26063
B3446,K30756
B3448,K30756
B3450,K26145
B3451,K56994
B3451,K32803
B3451,K12114
B3451,K11816
B3453,K18172
B3457,K48510
B3459,K5455
B3461,K60377
B3461,K60381
B3461,K60330
B3461,K60717
B3464,K28765
B3464,K61847
B3464,K413
B3464,K3444
B3466,K27325
B3467,K709
B3469,K66219
B3469,K8587
B3470,K25531
B3471,K28319
B3474,K22286
B3475,K19450
B3475,K21370
B3478,K60377
B3480,K5090
B3482,K27528
B3484,K57032
B3484,K61937
B3484,K57032
B3484,K25734
B3484,K46691
B3485,K60377
B3489,K64621
B3491,K28823
B3492,K22639
B3495,K17945
B3500,K24879
B3500,K15950
B3500,K24029
B3501,K24879
B3501,K15950
B3501,K24029
B3503,K60859
B3505,K6554
B3505,K18462
B3505,K26564
